id,title,changed_parameters,lap_time_text,status,notes,config_file
g01_baseline_fast,Baseline Fast,baseline,66.38,Completed,Reference configuration using the repo Spielberg fast profile.,src/race_fo/race_planner/config/param_study/g01_baseline_fast.yaml
g02_conservative_speed,Conservative Speed,"max_speed=7.0, straight_speed=6.6, fast_curve_speed=5.6, medium_speed=4.3, corner_speed=2.5",69.47,Completed,Lower top and corner speeds to favor stability over lap time.,src/race_fo/race_planner/config/param_study/g02_conservative_speed.yaml
g03_aggressive_speed,Aggressive Speed,"max_speed=8.5, straight_speed=8.0, fast_curve_speed=6.8, medium_speed=5.2, corner_speed=3.0, lat_accel_limit=10.2, accel_limit=6.4, decel_limit=10.3, brake_decel=8.9",61.21,Completed,Raise speed limits and acceleration to test a faster but riskier setup.,src/race_fo/race_planner/config/param_study/g03_aggressive_speed.yaml
g04_high_clearance,High Clearance,"preferred_wall_clearance=0.9, safety_margin=0.22, clearance_weight=3.1, center_weight=1.7",68.34,Completed,Increase wall and safety margins to keep the car farther from obstacles.,src/race_fo/race_planner/config/param_study/g04_high_clearance.yaml
g05_low_clearance,Low Clearance,"preferred_wall_clearance=0.64, safety_margin=0.14, clearance_weight=2.4, progress_weight=2.5",66.57,Completed,Reduce clearance margins to allow tighter cornering lines.,src/race_fo/race_planner/config/param_study/g05_low_clearance.yaml
g06_long_horizon,Long Horizon,"min_horizon=2.8, max_horizon=6.6, lookahead_speed_gain=0.36",67.87,Completed,Plan farther ahead with more speed-sensitive lookahead.,src/race_fo/race_planner/config/param_study/g06_long_horizon.yaml
g07_short_horizon,Short Horizon,"min_horizon=2.0, max_horizon=4.9, lookahead_speed_gain=0.22",65.33,Completed,Use a shorter planning horizon for tighter local reactions.,src/race_fo/race_planner/config/param_study/g07_short_horizon.yaml
g08_smoother_steering,Smoother Steering,"steering_smoothing=0.58, corner_steering_smoothing=0.38",65.47,Completed,Increase steering smoothing and reduce sudden steering steps.,src/race_fo/race_planner/config/param_study/g08_smoother_steering.yaml
g09_sharper_steering,Sharper Steering,"steering_smoothing=0.38, corner_steering_smoothing=0.2",66.49,Completed,Reduce smoothing to let the planner respond more aggressively.,src/race_fo/race_planner/config/param_study/g09_sharper_steering.yaml
g10_ml_disabled,ML Disabled,enable_ml_tuner=False,68.01,Completed,Disable the ML tuner to compare learned adaptation versus fixed rules.,src/race_fo/race_planner/config/param_study/g10_ml_disabled.yaml
